transaction,account,amount,cur
102536,101101,17.65,USD
102537,101101,8.64,USD
102538,101101,11.85,USD
102539,101102,18.82,EUR
102540,101101,15.13,USD
102541,101101,8.71,USD
102542,101101,22.35,USD
102543,101102,6.14,EUR
102544,101101,14.43,USD
102545,101101,8.24,USD
102546,101102,10.96,EUR
102547,101101,0.29,USD
102548,101102,10.07,EUR
102549,101101,7.16,USD
102550,101101,17.04,USD
102551,101101,3.15,USD
102552,101101,8.67,USD
102553,101101,6.75,USD
102554,101102,18.10,EUR
102555,101101,5.46,USD
102556,101102,9.45,EUR
102557,101101,3.84,USD
102558,101102,2.63,EUR
102559,101102,0.87,EUR
102560,101101,6.60,USD
102561,101102,9.48,EUR
102562,101101,10.17,USD
102563,101101,9.14,USD
102564,101101,13.21,USD
102565,101101,7.03,USD
102566,101102,5.62,EUR
102567,101101,7.51,USD
102568,101102,4.22,EUR
102569,101101,11.99,USD
102570,101102,10.25,EUR
102571,101101,10.20,USD
102572,101102,5.27,EUR
102573,101102,13.80,EUR
102574,101101,5.41,USD
102575,101101,11.33,USD
102576,101101,14.44,USD
102577,101101,16.58,USD
102578,101101,13.40,USD
102579,101102,15.13,EUR
102580,101101,9.26,USD
102581,101101,19.18,USD
102582,101101,5.87,USD
102583,101101,8.60,USD
102584,101101,10.70,USD
102585,101101,3.94,USD
102586,101102,5.20,EUR
102587,101101,11.57,USD
102588,101102,9.42,EUR
102589,101101,16.15,USD
102590,101101,14.30,USD
102591,101102,13.78,EUR
102592,101101,1.77,USD
102593,101102,9.22,EUR
102594,101101,22.65,USD
102595,101101,11.03,USD
102596,101101,7.69,USD
102597,101101,15.14,USD
102598,101101,2.43,USD
102599,101101,8.94,USD
102600,101102,10.20,EUR
102601,101102,22.33,EUR
102602,101101,10.07,USD
102603,101101,11.64,USD
102604,101101,7.36,USD
102605,101102,10.78,EUR
102606,101101,0.10,USD
102607,101101,10.18,USD
102608,101101,16.22,USD
102609,101101,16.39,USD
102610,101101,7.37,USD
102611,101101,10.23,USD
102612,101101,8.76,USD
102613,101102,9.93,EUR
102614,101101,4.50,USD
102615,101101,-2.01,USD
102616,101101,5.97,USD
102617,101101,21.15,USD
102618,101102,3.06,EUR
102619,101101,12.82,USD
102620,101101,11.47,USD
102621,101101,0.06,USD
102622,101101,12.90,USD
102623,101101,12.02,USD
102624,101101,14.99,USD
102625,101101,11.79,USD
102626,101102,8.31,EUR
102627,101101,13.14,USD
102628,101102,4.17,EUR
102629,101101,3.49,USD
102630,101101,6.63,USD
102631,101101,7.52,USD
102632,101101,7.65,USD
102633,101101,11.63,USD
102634,101101,1.92,USD
102635,101101,3.78,USD
102636,101101,5.64,USD
102637,101101,2.41,USD
102638,101101,14.48,USD
102639,101101,17.11,USD
102640,101101,10.32,USD
102641,101101,14.91,USD
102642,101101,7.60,USD
102643,101101,-1.93,USD
102644,101101,-4.00,USD
102645,101101,6.41,USD
102646,101101,11.70,USD
102647,101101,8.48,USD
102648,101101,7.64,USD
102649,101101,16.83,USD
102650,101101,3.32,USD
102651,101101,8.80,USD
102652,101102,8.93,EUR
102653,101101,7.81,USD
102654,101102,13.67,EUR
102655,101101,6.42,USD
102656,101102,11.63,EUR
102657,101101,12.96,USD
102658,101101,0.89,USD
102659,101101,9.07,USD
102660,101101,3.88,USD
102661,101101,8.14,USD
102662,101101,7.72,USD
102663,101101,12.01,USD
102664,101101,7.58,USD
102665,101101,13.63,USD
102666,101101,5.77,USD
102667,101102,23.99,EUR
102668,101101,7.93,USD
102669,101102,8.16,EUR
102670,101101,6.02,USD
102671,101102,7.36,EUR
102672,101101,14.27,USD
102673,101101,3.81,USD
102674,101101,15.72,USD
102675,101102,7.26,EUR
102676,101101,11.88,USD
102677,101101,14.27,USD
102678,101101,10.61,USD
102679,101101,13.24,USD
102680,101101,3.96,USD
102681,101101,2.01,USD
102682,101102,10.73,EUR
102683,101101,-1.96,USD
102684,101101,7.88,USD
102685,101101,13.84,USD
102686,101101,12.79,USD
102687,101101,12.83,USD
102688,101101,9.87,USD
102689,101101,11.03,USD
102690,101101,15.29,USD
102691,101101,16.43,USD
102692,101101,16.93,USD
102693,101101,10.74,USD
102694,101101,14.36,USD
102695,101101,11.84,USD
102696,101101,1.99,USD
102697,101102,11.26,EUR
102698,101101,18.72,USD
102699,101101,-0.02,USD
102700,101101,11.97,USD
102701,101101,18.41,USD
102702,101101,21.33,USD
102703,101101,6.31,USD
102704,101102,4.20,EUR
102705,101101,9.66,USD
102706,101101,8.05,USD
102707,101101,14.82,USD
102708,101102,8.02,EUR
102709,101101,21.69,USD
102710,101101,14.92,USD
102711,101101,0.69,USD
102712,101101,13.17,USD
102713,101101,5.64,USD
102714,101101,7.60,USD
102715,101101,2.71,USD
102716,101101,15.55,USD
102717,101101,6.30,USD
102718,101101,14.71,USD
102719,101102,15.93,EUR
102720,101101,10.34,USD
102721,101101,9.44,USD
102722,101101,9.57,USD
102723,101101,4.22,USD
102724,101101,0.75,USD
102725,101101,4.05,USD
102726,101101,14.67,USD
102727,101102,18.52,EUR
102728,101102,9.65,EUR
102729,101102,1.53,EUR
102730,101101,9.73,USD
102731,101101,23.63,USD
102732,101101,8.24,USD
102733,101101,11.13,USD
102734,101101,8.43,USD
102735,101101,3.99,USD
102736,101102,14.12,EUR
102737,101101,6.56,USD
102738,101101,13.67,USD
102739,101101,14.64,USD
102740,101101,2.91,USD
102741,101101,15.42,USD
102742,101101,10.20,USD
102743,101102,13.23,EUR
102744,101102,2.10,EUR
102745,101101,19.25,USD
102746,101101,21.57,USD
102747,101101,11.95,USD
102748,101101,15.65,USD
102749,101101,7.59,USD
102750,101101,15.19,USD
102751,101101,8.73,USD
102752,101101,9.30,USD
102753,101101,13.92,USD
102754,101101,21.56,USD
102755,101101,8.54,USD
102756,101102,7.80,EUR
102757,101101,4.22,USD
102758,101101,9.47,USD
102759,101101,5.64,USD
102760,101101,13.34,USD
102761,101101,17.72,USD
102762,101101,5.20,USD
102763,101101,11.38,USD
102764,101101,12.00,USD
102765,101101,14.95,USD
102766,101101,9.15,USD
102767,101102,18.62,EUR
102768,101101,22.72,USD
102769,101101,11.72,USD
102770,101101,12.42,USD
102771,101102,17.19,EUR
102772,101102,14.96,EUR
102773,101101,3.97,USD
102774,101101,8.31,USD
102775,101101,17.22,USD
102776,101101,9.55,USD
102777,101101,10.78,USD
102778,101102,13.92,EUR
102779,101101,8.51,USD
102780,101101,12.86,USD
102781,101102,16.62,EUR
102782,101102,16.97,EUR
102783,101101,13.29,USD
102784,101102,11.58,EUR
102785,101101,14.75,USD
102786,101102,7.12,EUR
102787,101101,-1.05,USD
102788,101101,-1.72,USD
102789,101102,5.01,EUR
102790,101101,10.88,USD
102791,101101,11.76,USD
102792,101101,12.23,USD
102793,101101,10.94,USD
102794,101101,4.81,USD
102795,101102,17.53,EUR
102796,101101,5.84,USD
102797,101101,11.66,USD
102798,101101,12.86,USD
102799,101101,6.60,USD
102800,101102,24.41,EUR
102801,101101,16.36,USD
102802,101101,8.13,USD
102803,101101,2.33,USD
102804,101101,8.55,USD
102805,101101,2.64,USD
102806,101102,16.59,EUR
102807,101101,19.24,USD
102808,101101,3.77,USD
102809,101101,13.76,USD
102810,101101,4.62,USD
102811,101101,12.54,USD
102812,101101,10.28,USD
102813,101101,23.39,USD
102814,101101,12.62,USD
102815,101101,10.75,USD
102816,101101,11.34,USD
102817,101102,14.62,EUR
102818,101101,3.31,USD
102819,101102,4.73,EUR
102820,101102,9.30,EUR
102821,101101,3.41,USD
102822,101102,6.40,EUR
102823,101101,3.67,USD
102824,101101,14.13,USD
102825,101101,6.25,USD
102826,101101,3.44,USD
102827,101101,23.82,USD
102828,101102,7.12,EUR
102829,101101,9.90,USD
102830,101101,10.92,USD
102831,101101,8.54,USD
102832,101101,8.92,USD
102833,101101,-4.06,USD
102834,101102,12.76,EUR
102835,101101,14.84,USD
102836,101101,7.72,USD
102837,101102,9.81,EUR
102838,101102,4.26,EUR
102839,101101,5.09,USD
102840,101101,19.34,USD
102841,101101,8.76,USD
102842,101101,14.43,USD
102843,101102,12.20,EUR
102844,101101,8.35,USD
102845,101102,17.69,EUR
102846,101102,12.69,EUR
102847,101102,14.43,EUR
102848,101101,16.86,USD
102849,101101,4.79,USD
102850,101101,6.17,USD
102851,101101,14.16,USD
102852,101101,12.63,USD
102853,101101,5.35,USD
102854,101102,12.43,EUR
102855,101101,23.32,USD
102856,101101,15.17,USD
102857,101101,15.69,USD
102858,101101,10.74,USD
102859,101101,10.38,USD
102860,101102,5.28,EUR
102861,101101,-0.61,USD
102862,101101,11.92,USD
102863,101101,2.25,USD
102864,101101,4.22,USD
102865,101101,4.26,USD
102866,101101,7.47,USD
102867,101101,10.28,USD
102868,101101,11.38,USD
102869,101101,1.54,USD
102870,101101,5.95,USD
102871,101102,6.43,EUR
102872,101102,3.01,EUR
102873,101101,11.22,USD
102874,101101,5.98,USD
102875,101101,14.93,USD
102876,101101,11.12,USD
102877,101101,12.81,USD
102878,101101,15.23,USD
102879,101101,5.90,USD
102880,101101,13.18,USD
102881,101101,7.50,USD
102882,101101,7.85,USD
102883,101101,10.64,USD
102884,101101,10.50,USD
102885,101101,3.69,USD
102886,101101,19.04,USD
102887,101102,15.56,EUR
102888,101101,8.48,USD
102889,101102,2.95,EUR
102890,101101,8.42,USD
102891,101101,6.74,USD
102892,101101,6.85,USD
102893,101101,13.97,USD
102894,101101,4.73,USD
102895,101101,8.66,USD
102896,101101,0.96,USD
102897,101101,15.18,USD
102898,101102,1.54,EUR
102899,101102,-1.76,EUR
102900,101101,14.49,USD
102901,101101,10.98,USD
102902,101101,15.49,USD
102903,101101,3.07,USD
102904,101102,5.04,EUR
102905,101101,11.64,USD
102906,101101,-2.16,USD
102907,101101,7.83,USD
102908,101101,6.80,USD
102909,101101,16.88,USD
102910,101101,16.63,USD
102911,101101,6.75,USD
102912,101101,8.52,USD
102913,101101,5.59,USD
102914,101101,12.65,USD
102915,101101,6.98,USD
102916,101101,11.01,USD
102917,101101,10.58,USD
102918,101101,9.48,USD
102919,101102,11.21,EUR
102920,101101,8.84,USD
102921,101101,-0.84,USD
102922,101101,7.31,USD
102923,101101,4.55,USD
102924,101101,3.30,USD
102925,101101,5.84,USD
102926,101101,12.59,USD
102927,101101,7.01,USD
102928,101102,8.66,EUR
102929,101102,1.88,EUR
102930,101101,12.36,USD
102931,101101,13.26,USD
102932,101101,8.19,USD
102933,101101,13.73,USD
102934,101101,8.06,USD
102935,101101,13.64,USD
102936,101101,8.45,USD
102937,101101,13.58,USD
102938,101102,14.12,EUR
102939,101101,14.81,USD
102940,101101,11.54,USD
102941,101101,14.53,USD
102942,101101,7.44,USD
102943,101101,5.62,USD
102944,101101,18.20,USD
102945,101101,7.61,USD
102946,101101,11.30,USD
102947,101101,13.29,USD
102948,101102,12.69,EUR
102949,101101,10.52,USD
102950,101102,16.17,EUR
102951,101101,16.07,USD
102952,101101,0.41,USD
102953,101101,9.69,USD
102954,101101,17.66,USD
102955,101101,7.76,USD
102956,101102,11.79,EUR
102957,101102,11.01,EUR
102958,101101,13.52,USD
102959,101101,9.64,USD
102960,101101,9.69,USD
102961,101102,12.33,EUR
102962,101101,6.26,USD
102963,101101,18.00,USD
102964,101101,7.80,USD
102965,101102,6.24,EUR
102966,101101,15.22,USD
102967,101101,10.73,USD
102968,101101,19.81,USD
102969,101102,4.89,EUR
102970,101101,18.34,USD
102971,101101,9.94,USD
102972,101102,3.20,EUR
102973,101101,18.93,USD
102974,101101,3.24,USD
102975,101101,13.75,USD
102976,101101,12.23,USD
102977,101101,11.21,USD
102978,101101,15.24,USD
102979,101102,8.44,EUR
102980,101101,7.45,USD
102981,101101,9.62,USD
102982,101101,1.06,USD
102983,101101,14.12,USD
102984,101101,6.87,USD
102985,101101,8.10,USD
102986,101101,15.39,USD
102987,101101,8.53,USD
102988,101101,9.46,USD
102989,101101,16.66,USD
102990,101102,18.52,EUR
102991,101101,6.56,USD
102992,101101,12.61,USD
102993,101102,9.91,EUR
102994,101101,17.94,USD
102995,101101,4.90,USD
102996,101102,9.53,EUR
102997,101101,19.76,USD
102998,101101,18.45,USD
102999,101101,8.38,USD
103000,101101,23.46,USD
103001,101102,13.43,EUR
103002,101101,14.88,USD
103003,101101,11.00,USD
103004,101101,5.09,USD
103005,101101,1.97,USD
103006,101101,9.51,USD
103007,101101,13.84,USD
103008,101101,13.81,USD
103009,101101,1.49,USD
103010,101101,3.62,USD
103011,101101,17.84,USD
103012,101101,3.88,USD
103013,101102,7.65,EUR
103014,101102,11.63,EUR
103015,101101,1.96,USD
103016,101101,6.51,USD
103017,101102,10.07,EUR
103018,101101,8.97,USD
103019,101102,12.11,EUR
103020,101102,6.29,EUR
103021,101101,5.02,USD
103022,101101,7.26,USD
103023,101101,23.03,USD
103024,101101,7.85,USD
103025,101101,6.58,USD
103026,101101,13.69,USD
103027,101101,10.70,USD
103028,101101,12.47,USD
103029,101101,23.92,USD
103030,101101,14.21,USD
103031,101101,15.63,USD
103032,101102,6.44,EUR
103033,101101,15.96,USD
103034,101101,1.55,USD
103035,101101,7.34,USD
103036,101101,4.96,USD
103037,101101,18.15,USD
103038,101101,2.93,USD
103039,101101,9.13,USD
103040,101101,6.98,USD
103041,101101,9.38,USD
103042,101101,4.71,USD
103043,101101,1.42,USD
103044,101102,17.48,EUR
103045,101101,6.69,USD
103046,101101,6.24,USD
103047,101102,5.82,EUR
103048,101101,21.27,USD
103049,101101,4.50,USD
103050,101101,17.17,USD
103051,101101,6.71,USD
103052,101101,25.24,USD
103053,101101,10.92,USD
103054,101101,18.15,USD
103055,101102,2.08,EUR
103056,101101,5.51,USD
103057,101101,9.08,USD
103058,101101,9.95,USD
103059,101102,5.41,EUR
103060,101102,15.26,EUR
103061,101102,10.73,EUR
103062,101101,11.57,USD
103063,101101,13.27,USD
103064,101101,14.55,USD
103065,101101,8.16,USD
103066,101101,11.69,USD
103067,101102,15.64,EUR
103068,101102,14.13,EUR
103069,101101,2.86,USD
103070,101101,6.97,USD
103071,101101,8.31,USD
103072,101101,15.99,USD
103073,101101,11.01,USD
103074,101102,11.88,EUR
103075,101101,14.70,USD
103076,101102,14.69,EUR
103077,101101,15.60,USD
103078,101102,8.18,EUR
103079,101101,7.86,USD
103080,101102,13.16,EUR
103081,101101,1.31,USD
103082,101102,10.41,EUR
103083,101101,8.57,USD
103084,101101,8.07,USD
103085,101101,7.15,USD
103086,101101,13.06,USD
103087,101101,3.79,USD
103088,101101,6.03,USD
103089,101101,9.93,USD
103090,101101,4.58,USD
103091,101101,13.89,USD
103092,101101,18.21,USD
103093,101101,1.67,USD
103094,101101,5.68,USD
103095,101101,14.19,USD
103096,101102,15.37,EUR
103097,101102,14.51,EUR
103098,101101,12.11,USD
103099,101101,5.38,USD
103100,101101,6.02,USD
103101,101101,21.79,USD
103102,101102,10.99,EUR
103103,101101,16.14,USD
103104,101101,17.17,USD
103105,101101,9.93,USD
103106,101101,10.05,USD
103107,101101,10.57,USD
103108,101101,9.48,USD
103109,101101,10.46,USD
103110,101102,3.31,EUR
103111,101101,17.67,USD
103112,101101,12.54,USD
103113,101101,2.24,USD
103114,101102,11.23,EUR
103115,101102,8.40,EUR
103116,101101,11.31,USD
103117,101101,13.65,USD
103118,101101,11.39,USD
103119,101101,14.39,USD
103120,101101,14.57,USD
103121,101102,7.31,EUR
103122,101101,7.83,USD
103123,101101,14.71,USD
103124,101101,12.92,USD
103125,101101,16.42,USD
103126,101101,13.14,USD
103127,101101,11.82,USD
103128,101101,19.10,USD
103129,101101,14.64,USD
103130,101101,8.42,USD
103131,101101,5.00,USD
103132,101101,9.52,USD
103133,101101,2.29,USD
103134,101101,14.76,USD
103135,101102,9.33,EUR
103136,101102,6.89,EUR
103137,101101,13.63,USD
103138,101101,12.47,USD
103139,101101,6.11,USD
103140,101101,11.48,USD
103141,101101,10.10,USD
103142,101101,6.50,USD
103143,101101,5.30,USD
103144,101101,15.12,USD
103145,101101,15.47,USD
103146,101101,5.91,USD
103147,101101,3.37,USD
103148,101101,5.72,USD
103149,101101,1.19,USD
103150,101102,16.60,EUR
103151,101101,1.23,USD
103152,101101,11.70,USD
103153,101102,4.30,EUR
103154,101101,7.55,USD
103155,101102,12.60,EUR
103156,101101,8.15,USD
103157,101102,9.70,EUR
103158,101101,7.46,USD
103159,101101,11.79,USD
103160,101101,2.50,USD
103161,101101,4.78,USD
103162,101102,13.72,EUR
103163,101101,8.31,USD
103164,101101,9.13,USD
103165,101102,-1.26,EUR
103166,101101,14.32,USD
103167,101101,2.64,USD
103168,101101,13.48,USD
103169,101102,19.03,EUR
103170,101101,3.17,USD
103171,101102,4.61,EUR
103172,101102,14.25,EUR
103173,101101,9.14,USD
103174,101101,12.10,USD
103175,101101,5.58,USD
103176,101101,4.53,USD
103177,101101,15.34,USD
103178,101102,3.29,EUR
103179,101101,5.12,USD
103180,101101,3.68,USD
103181,101101,13.45,USD
103182,101101,2.49,USD
103183,101102,10.96,EUR
103184,101101,9.18,USD
103185,101101,5.26,USD
103186,101102,9.44,EUR
103187,101101,21.16,USD
103188,101101,12.94,USD
103189,101102,3.32,EUR
103190,101101,13.29,USD
103191,101101,14.30,USD
103192,101101,6.66,USD
103193,101102,9.12,EUR
103194,101101,5.57,USD
103195,101101,4.93,USD
103196,101101,14.52,USD
103197,101101,11.05,USD
103198,101102,16.74,EUR
103199,101101,7.20,USD
103200,101102,9.47,EUR
103201,101101,7.40,USD
103202,101101,15.62,USD
103203,101101,12.76,USD
103204,101101,3.20,USD
103205,101101,16.42,USD
103206,101102,9.69,EUR
103207,101101,0.19,USD
103208,101101,1.27,USD
103209,101101,12.37,USD
103210,101101,2.32,USD
103211,101101,7.68,USD
103212,101101,9.46,USD
103213,101102,7.87,EUR
103214,101101,13.58,USD
103215,101101,12.15,USD
103216,101102,10.03,EUR
103217,101101,4.19,USD
103218,101101,17.63,USD
103219,101102,0.58,EUR
103220,101101,8.17,USD
103221,101102,9.41,EUR
103222,101101,15.29,USD
103223,101101,3.87,USD
103224,101101,7.57,USD
103225,101101,10.63,USD
103226,101101,16.20,USD
103227,101101,3.52,USD
103228,101102,6.10,EUR
103229,101102,11.64,EUR
103230,101101,12.22,USD
103231,101101,0.86,USD
103232,101101,4.39,USD
103233,101101,6.78,USD
103234,101101,3.92,USD
103235,101102,11.36,EUR
103236,101101,10.23,USD
103237,101101,13.83,USD
103238,101102,6.06,EUR
103239,101102,17.11,EUR
103240,101102,14.19,EUR
103241,101101,8.64,USD
103242,101101,7.52,USD
103243,101101,12.27,USD
103244,101101,8.48,USD
103245,101101,13.13,USD
103246,101101,12.64,USD
103247,101101,12.45,USD
103248,101101,7.57,USD
103249,101102,13.50,EUR
103250,101101,14.64,USD
103251,101101,16.69,USD
103252,101101,12.29,USD
103253,101101,13.34,USD
103254,101101,10.94,USD
103255,101101,8.77,USD
103256,101101,8.85,USD
103257,101102,6.16,EUR
103258,101101,11.02,USD
103259,101101,11.65,USD
103260,101101,13.07,USD
103261,101102,4.87,EUR
103262,101101,4.63,USD
103263,101101,4.19,USD
103264,101102,3.49,EUR
103265,101101,12.82,USD
103266,101101,11.41,USD
103267,101101,17.06,USD
103268,101102,4.57,EUR
103269,101102,13.26,EUR
103270,101101,17.25,USD
103271,101101,4.13,USD
103272,101101,6.23,USD
103273,101102,9.78,EUR
103274,101101,9.67,USD
103275,101101,7.07,USD
103276,101101,13.20,USD
103277,101101,11.34,USD
103278,101101,12.59,USD
103279,101102,9.52,EUR
103280,101101,9.13,USD
103281,101101,7.92,USD
103282,101101,17.29,USD
103283,101101,6.65,USD
103284,101101,8.16,USD
103285,101101,10.73,USD
103286,101101,9.70,USD
103287,101101,4.58,USD
103288,101101,12.98,USD
103289,101101,11.90,USD
103290,101101,11.15,USD
103291,101101,6.82,USD
103292,101102,20.92,EUR
103293,101101,9.41,USD
103294,101101,16.63,USD
103295,101101,9.32,USD
103296,101101,12.05,USD
103297,101101,16.84,USD
103298,101101,21.48,USD
103299,101102,11.67,EUR
103300,101101,1.76,USD
103301,101101,2.50,USD
103302,101102,11.86,EUR
103303,101101,14.50,USD
103304,101102,10.11,EUR
103305,101101,24.46,USD
103306,101101,4.41,USD
103307,101101,9.92,USD
103308,101101,11.97,USD
103309,101101,14.69,USD
103310,101101,5.67,USD
103311,101101,19.45,USD
103312,101101,8.34,USD
103313,101101,6.37,USD
103314,101101,21.89,USD
103315,101101,9.92,USD
103316,101101,13.43,USD
103317,101101,7.69,USD
103318,101101,14.38,USD
103319,101101,13.78,USD
103320,101101,11.12,USD
103321,101101,6.06,USD
103322,101101,9.73,USD
103323,101101,4.49,USD
103324,101101,6.43,USD
103325,101101,8.35,USD
103326,101102,-1.72,EUR
103327,101101,8.96,USD
103328,101101,5.37,USD
103329,101101,7.65,USD
103330,101101,14.83,USD
103331,101101,6.60,USD
103332,101101,18.23,USD
103333,101101,14.74,USD
103334,101102,17.11,EUR
103335,101101,17.53,USD
103336,101101,9.50,USD
103337,101101,20.11,USD
103338,101101,4.80,USD
103339,101101,13.64,USD
103340,101102,14.61,EUR
103341,101101,4.37,USD
103342,101101,13.05,USD
103343,101101,10.68,USD
103344,101101,14.25,USD
103345,101101,12.94,USD
103346,101102,3.54,EUR
103347,101101,3.02,USD
103348,101101,8.37,USD
103349,101102,20.25,EUR
103350,101102,21.17,EUR
103351,101101,14.22,USD
103352,101101,9.05,USD
103353,101101,17.64,USD
103354,101101,10.84,USD
103355,101101,10.72,USD
103356,101102,8.57,EUR
103357,101101,7.63,USD
103358,101101,4.36,USD
103359,101101,15.12,USD
103360,101101,3.28,USD
103361,101101,10.95,USD
103362,101101,11.57,USD
103363,101101,8.41,USD
103364,101101,12.55,USD
103365,101102,13.81,EUR
103366,101101,1.78,USD
103367,101101,15.11,USD
103368,101102,15.93,EUR
103369,101101,15.49,USD
103370,101101,15.56,USD
103371,101101,10.03,USD
103372,101101,14.62,USD
103373,101101,18.71,USD
103374,101101,2.95,USD
103375,101101,11.03,USD
103376,101101,14.52,USD
103377,101101,2.89,USD
103378,101101,9.54,USD
103379,101101,4.56,USD
103380,101101,7.12,USD
103381,101101,10.53,USD
103382,101101,18.96,USD
103383,101101,4.79,USD
103384,101101,5.32,USD
103385,101101,16.32,USD
103386,101102,11.96,EUR
103387,101101,10.60,USD
103388,101101,6.37,USD
103389,101101,11.43,USD
103390,101101,3.84,USD
103391,101102,8.26,EUR
103392,101101,-1.66,USD
103393,101101,13.19,USD
103394,101102,11.56,EUR
103395,101101,10.07,USD
103396,101102,13.62,EUR
103397,101101,18.71,USD
103398,101102,8.53,EUR
103399,101101,8.50,USD
103400,101102,7.51,EUR
103401,101101,8.03,USD
103402,101101,7.14,USD
103403,101101,5.93,USD
103404,101101,17.36,USD
103405,101101,12.19,USD
103406,101101,15.88,USD
103407,101101,19.69,USD
103408,101101,4.63,USD
103409,101101,11.51,USD
103410,101101,16.75,USD
103411,101102,11.15,EUR
103412,101101,11.96,USD
103413,101101,21.66,USD
103414,101101,9.44,USD
103415,101101,10.16,USD
103416,101101,11.32,USD
103417,101102,16.65,EUR
103418,101101,16.04,USD
103419,101101,8.81,USD
103420,101101,12.22,USD
103421,101101,9.98,USD
103422,101101,9.87,USD
103423,101101,13.70,USD
103424,101101,9.77,USD
103425,101101,12.29,USD
103426,101101,11.32,USD
103427,101102,7.06,EUR
103428,101101,8.84,USD
103429,101102,13.52,EUR
103430,101101,13.27,USD
103431,101101,11.70,USD
103432,101101,15.97,USD
103433,101102,3.74,EUR
103434,101102,4.64,EUR
103435,101101,15.26,USD
103436,101101,20.97,USD
103437,101102,-0.51,EUR
103438,101101,6.78,USD
103439,101101,10.74,USD
103440,101101,4.52,USD
103441,101101,2.91,USD
103442,101101,14.97,USD
103443,101101,4.95,USD
103444,101101,11.45,USD
103445,101101,9.54,USD
103446,101101,10.76,USD
103447,101101,12.31,USD
103448,101101,5.76,USD
103449,101101,10.77,USD
103450,101101,6.64,USD
103451,101101,7.85,USD
103452,101102,-2.46,EUR
103453,101101,1.93,USD
103454,101101,15.02,USD
103455,101101,12.22,USD
103456,101101,6.64,USD
103457,101101,7.78,USD
103458,101101,13.97,USD
103459,101101,9.64,USD
103460,101101,10.54,USD
103461,101101,10.87,USD
103462,101101,8.08,USD
103463,101101,2.84,USD
103464,101101,18.28,USD
103465,101101,13.34,USD
103466,101101,22.86,USD
103467,101101,9.46,USD
103468,101102,13.51,EUR
103469,101102,5.75,EUR
103470,101102,10.98,EUR
103471,101101,6.40,USD
103472,101101,-1.18,USD
103473,101101,9.27,USD
103474,101101,3.97,USD
103475,101102,10.56,EUR
103476,101101,7.39,USD
103477,101101,19.38,USD
103478,101101,1.01,USD
103479,101101,6.71,USD
103480,101101,7.68,USD
103481,101101,8.88,USD
103482,101101,4.74,USD
103483,101102,6.64,EUR
103484,101101,0.90,USD
103485,101102,11.46,EUR
103486,101101,-0.07,USD
103487,101101,13.45,USD
103488,101101,7.39,USD
103489,101101,8.90,USD
103490,101101,2.15,USD
103491,101101,17.78,USD
103492,101101,21.65,USD
103493,101101,15.71,USD
103494,101101,9.28,USD
103495,101101,5.92,USD
103496,101101,11.92,USD
103497,101101,16.26,USD
103498,101102,2.43,EUR
103499,101101,15.82,USD
103500,101101,4.63,USD
103501,101102,16.79,EUR
103502,101101,10.27,USD
103503,101101,7.22,USD
103504,101101,14.74,USD
103505,101101,15.59,USD
103506,101101,14.81,USD
103507,101101,15.85,USD
103508,101101,9.44,USD
103509,101101,13.75,USD
103510,101102,10.33,EUR
103511,101101,12.47,USD
103512,101101,12.41,USD
103513,101102,13.97,EUR
103514,101102,9.41,EUR
103515,101101,9.19,USD
103516,101101,17.08,USD
103517,101101,17.24,USD
103518,101101,3.44,USD
103519,101101,6.48,USD
103520,101101,14.24,USD
103521,101101,21.79,USD
103522,101101,7.91,USD
103523,101101,4.51,USD
103524,101101,4.69,USD
103525,101101,6.33,USD
103526,101101,7.84,USD
103527,101102,13.02,EUR
103528,101101,6.25,USD
103529,101101,4.35,USD
103530,101101,9.55,USD
103531,101101,10.92,USD
103532,101102,18.31,EUR
103533,101101,5.55,USD
103534,101102,2.40,EUR
103535,101101,11.19,USD
103536,101101,13.52,USD
103537,101101,10.77,USD
103538,101101,4.80,USD
103539,101101,9.07,USD
103540,101101,18.33,USD
103541,101101,6.71,USD
103542,101101,3.82,USD
103543,101101,0.62,USD
103544,101102,-6.99,EUR
103545,101102,14.18,EUR
103546,101101,1.70,USD
103547,101101,4.33,USD
103548,101101,0.39,USD
103549,101102,9.62,EUR
103550,101101,6.79,USD
103551,101101,6.59,USD
103552,101101,18.54,USD
103553,101101,5.75,USD
103554,101102,13.70,EUR
103555,101101,-1.36,USD
103556,101102,12.42,EUR
103557,101102,7.06,EUR
103558,101102,6.59,EUR
103559,101102,6.24,EUR
103560,101101,10.50,USD
103561,101101,11.41,USD
103562,101101,9.94,USD
103563,101102,16.83,EUR
103564,101101,6.89,USD
103565,101101,11.62,USD
103566,101101,4.65,USD
103567,101101,10.42,USD
103568,101101,10.32,USD
103569,101101,11.51,USD
103570,101101,5.55,USD
103571,101101,10.68,USD
103572,101101,7.33,USD
103573,101102,13.69,EUR
103574,101101,1.15,USD
103575,101101,6.38,USD
103576,101102,11.50,EUR
103577,101102,9.46,EUR
103578,101101,10.46,USD
103579,101101,-2.64,USD
103580,101101,9.71,USD
103581,101101,15.54,USD
103582,101101,8.60,USD
103583,101101,11.65,USD
103584,101101,-1.48,USD
103585,101101,13.16,USD
103586,101101,10.31,USD
103587,101102,16.53,EUR
103588,101101,-1.71,USD
103589,101101,6.33,USD
103590,101101,11.24,USD
103591,101101,4.08,USD
103592,101102,12.71,EUR
